Id,Label,Interval,TaxonRank,TaxonFamilyName,TaxonKingdomName
Sapajus xanthosternos,,,species,,Animalia
Alouatta belzebul,,,species,,Animalia
Leontopithecus caissara,,,species,,Animalia
Setophaga pitiayumi,,,species,,Animalia
Alouatta macconnelli,,,species,,Animalia
Ateles paniscus,,,species,,Animalia
Myiopagis caniceps,,,species,,Animalia
Veniliornis spilogaster,,,species,,Animalia
Odontophorus capueira,,,species,,Animalia
Pionus maximiliani,,,species,,
Marmosops paulensis,,,species,,Animalia
Phibalura flavirostris,,,species,,Animalia
Phyllomyias fasciatus,,,species,,Animalia
Pygoderma bilabiatum,,,species,,Animalia
Triclaria malachitacea,,,species,,Animalia
Neopelma aurifrons,,,species,,Animalia
Colaptes campestris,,,species,,Animalia
Forpus xanthopterygius,,,species,,
Laniisoma elegans,,,species,,Animalia
Conopias trivirgatus,,,species,,Animalia
Vampyressa pusilla,,,species,,Animalia
Micoureus demerarae,,,species,,Animalia
Mimus saturninus,,,species,,Animalia
Haplospiza unicolor,,,species,,Animalia
Sturnira tildae,,,species,,Animalia
Baryphthengus ruficapillus,,,species,,Animalia
Pyrrhura frontalis,,,species,,Animalia
Brotogeris tirica,,,species,,Animalia
Hylophilus poicilotis,,,species,,Animalia
Didelphis aurita,,,species,,Animalia
Melanerpes flavifrons,,,species,,Animalia
Cissopis leverianus,,,species,,Animalia
Tangara desmaresti,,,species,,Animalia
Thraupis cyanoptera,,,species,,Animalia
Philander frenatus,,,species,,Animalia
Sturnira lilium,,,species,,Animalia
Baillonius bailloni,,,species,,Animalia
Tapirira guianensis,,,species,,Viridiplantae
Iguana iguana rhinolopha,,,,,Animalia
Asystasia gangetica,,,species,,Plantae
Genipa americana,,,species,,Plantae
Pseudobombax ellipticum,,,species,,Plantae
Abudefduf saxatilis,,,species,,Animalia
Abudefduf taurus,,,species,,Animalia
Acanthostracion polygonius,,,species,,Animalia
Acanthostracion quadricornis,,,species,,Animalia
Acanthostracion quadricornis,,,species,,
Acanthurus bahianus,,,species,,Animalia
Acanthurus chirurgus,,,species,,Animalia
Acanthurus coeruleus,,,species,,Animalia
Aetobatus narinari,,,species,,Animalia
Alphestes afer,,,species,,Animalia
Aluterus schoepfii,,,species,,Animalia
Aluterus scriptus,,,species,,Animalia
Anisotremus surinamensis,,,species,,Animalia
Anisotremus virginicus,,,species,,Animalia
Archosargus rhomboidalis,,,species,,Animalia
Ariopsis felis,,,species,,
Aulostomus maculatus,,,species,,Animalia
Bagre marinus,,,species,,Animalia
Bathynomus giganteus,,,species,,
Bodianus rufus,,,species,,
Bodianus rufus,,,species,,Animalia
Bothus lunatus,,,species,,Animalia
Bothus ocellatus,,,species,,Animalia
Calamus bajonado,,,species,,Animalia
Calamus calamus,,,species,,Animalia
Calamus pennatula,,,species,,Animalia
Canis lupus familiaris,,,subspecies,,Animalia
Cantherhines macrocerus,,,species,,Animalia
Cantherhines pullus,,,species,,Animalia
Canthidermis sufflamen,,,species,,
Canthidermis sufflamen,,,species,,Animalia
Carangoides bartholomaei,,,species,,Animalia
Caranx latus,,,species,,Animalia
Caranx ruber,,,species,,Animalia
Carcharhinus acronotus,,,species,,Animalia
Carcharhinus falciformis,,,species,,Animalia
Carcharhinus leucas,,,species,,Animalia
Carcharhinus limbatus,,,species,,Animalia
Carcharhinus longimanus,,,species,,Animalia
Carcharhinus obscurus,,,species,,
Carcharhinus perezii,,,species,,Animalia
Caretta caretta,,,species,,
Cephalopholis cruentata,,,species,,Animalia
Cephalopholis fulva,,,species,,
Cetorhinus maximus,,,species,,
Chaetodipterus faber,,,species,,Animalia
Chaetodon capistratus,,,species,,Animalia
Chaetodon sedentarius,,,species,,Animalia
Chaetodon striatus,,,species,,
Chelonia mydas,,,species,,
Chilomycterus antennatus,,,species,,Animalia
Chromis multilineata,,,species,,Animalia
Clarias ebriensis,,,species,,Animalia
Clepticus parrae,,,species,,Animalia
Dactylopterus volitans,,,species,,Animalia
Dasyatis americana,,,species,,Animalia
Decapterus punctatus,,,species,,
Diodon holocanthus,,,species,,
Diodon holocanthus,,,species,,Animalia
Diodon hystrix,,,species,,
Diodon hystrix,,,species,,Animalia
Diplodus caudimacula,,,species,,Animalia
Dugong dugon,,,species,,
Echidna catenata,,,species,,Animalia
Elops saurus,,,species,,Animalia
Epinephelus adscensionis,,,species,,Animalia
Epinephelus guttatus,,,species,,
Epinephelus itajara,,,species,,Animalia
Epinephelus striatus,,,species,,Animalia
Equetus lanceolatus,,,species,,Animalia
Equetus punctatus,,,species,,Animalia
Eucinostomus argenteus,,,species,,Animalia
Euthynnus alletteratus,,,species,,Animalia
Felis catus,,,species,,Animalia
Fistularia petimba,,,species,,
Fistularia tabacaria,,,species,,Animalia
Gerres cinereus,,,species,,Animalia
Ginglymostoma cirratum,,,species,,
Gymnothorax moringa,,,species,,Animalia
Gymnothorax vicinus,,,species,,Animalia
Haemulon album,,,species,,Animalia
Haemulon aurolineatum,,,species,,Animalia
Haemulon carbonarium,,,species,,Animalia
Haemulon chrysargyreum,,,species,,Animalia
Haemulon flavolineatum,,,species,,Animalia
Haemulon macrostomum,,,species,,Animalia
Haemulon plumierii,,,species,,Animalia
Haemulon sciurus,,,species,,Animalia
Haemulon vittatum,,,species,,Animalia
Halichoeres bivittatus,,,species,,Animalia
Halichoeres garnoti,,,species,,
Halichoeres poeyi,,,species,,Animalia
Halichoeres radiatus,,,species,,
Harengula clupeola,,,species,,Animalia
Harengula humeralis,,,species,,Animalia
Hemiramphus balao,,,species,,Animalia
Hemiramphus brasiliensis,,,species,,Animalia
Heteroconger hassi,,,species,,Animalia
Heteroconger longissimus,,,species,,Animalia
Heteropriacanthus cruentatus,,,species,,Animalia
Hevea brasiliensis,,,species,,Plantae
Holacanthus ciliaris,,,species,,
Holacanthus tricolor,,,species,,Animalia
Holocentrus adscensionis,,,species,,Animalia
Holocentrus rufus,,,species,,Animalia
Homo sapiens,,,species,,Animalia
Kyphosus incisor,,,species,,Animalia
Kyphosus sectatrix,,,species,,Animalia
Lachnolaimus maximus,,,species,,Animalia
Lactophrys bicaudalis,,,species,,Animalia
Lactophrys trigonus,,,species,,Animalia
Lagocephalus laevigatus,,,species,,Animalia
Lobatus gigas,,,species,,
Lophius americanus,,,species,,
Lutjanus analis,,,species,,Animalia
